物件名,アクセス1,アクセス2,所在地,築年数,建物の階数,賃料,管理費,敷金,礼金,仲介金,部屋の階数,間取り,面積,方角
【空室1件】 ＳＹＦＯＲＭＥ東池袋,東京メトロ有楽町線 東池袋駅 徒歩4分,東京メトロ丸ノ内線 新大塚駅 徒歩10分,東京都豊島区東池袋５丁目,2022年10月(築1年),4階建,"143,000円","管理費15,000円",無料,無料,無料,00401号室,2K,31.72㎡,北西
【空室2件】 ハイシティプラザ南大泉,東京メトロ丸ノ内線 新大塚駅 徒歩10分,,東京都練馬区南大泉３丁目,1991年12月(築32年),8階建,"155,000円",管理費0円,15.5万円,15.5万円,無料,204号室,3LDK,74.63㎡,南
【空室2件】 ハイシティプラザ南大泉,東京メトロ丸ノ内線 新大塚駅 徒歩10分,,東京都練馬区南大泉３丁目,1991年12月(築32年),8階建,"158,000円",管理費0円,15.8万円,15.8万円,無料,404号室,3LDK,79.51㎡,南西
【空室6件】 ベルファース駒沢三丁目,東急田園都市線 駒沢大学駅 徒歩10分,東急田園都市線 桜新町駅 徒歩13分,東京都世田谷区駒沢３丁目,2023年7月(新築),3階建,"125,000円","管理費10,000円",12.5万円,無料,無料,216号室,2K,25.28㎡,北
【空室6件】 ベルファース駒沢三丁目,東急田園都市線 駒沢大学駅 徒歩10分,東急田園都市線 桜新町駅 徒歩13分,東京都世田谷区駒沢３丁目,2023年7月(新築),3階建,"129,000円","管理費10,000円",12.9万円,無料,無料,317号室,2K,25.72㎡,北
【空室6件】 ベルファース駒沢三丁目,東急田園都市線 駒沢大学駅 徒歩10分,東急田園都市線 桜新町駅 徒歩13分,東京都世田谷区駒沢３丁目,2023年7月(新築),3階建,"125,000円","管理費10,000円",12.5万円,無料,無料,217号室,2K,25.72㎡,北
【空室2件】 コスモプレイス赤羽Ⅱ,ＪＲ京浜東北・根岸線 赤羽駅 徒歩10分,東京メトロ南北線 志茂駅 徒歩14分,東京都北区神谷２丁目,1989年6月(築34年),4階建,"105,000円","管理費8,000円",10.5万円,無料,無料,0102号室,2DK,44.7㎡,南
【空室2件】 コスモプレイス赤羽Ⅱ,ＪＲ京浜東北・根岸線 赤羽駅 徒歩10分,東京メトロ南北線 志茂駅 徒歩14分,東京都北区神谷２丁目,1989年6月(築34年),4階建,"105,000円","管理費8,000円",10.5万円,10.5万円,無料,0402号室,2K,39.3㎡,南
【空室3件】 ADレジデンス戸越公園,東急大井町線 下神明駅 徒歩6分,東急大井町線 戸越公園駅 徒歩8分,東京都品川区豊町２丁目,1989年12月(築34年),3階建,"93,000円",管理費0円,9.3万円,無料,"37,000円",302号室,2K,29.7㎡,南
【空室3件】 ADレジデンス戸越公園,東急大井町線 下神明駅 徒歩6分,東急大井町線 戸越公園駅 徒歩8分,東京都品川区豊町２丁目,1989年12月(築34年),3階建,"90,000円",管理費0円,9.0万円,無料,"39,000円",102号室,2K,29.7㎡,南
【空室3件】 ADレジデンス戸越公園,東急大井町線 下神明駅 徒歩6分,東急大井町線 戸越公園駅 徒歩8分,東京都品川区豊町２丁目,1989年12月(築34年),3階建,"93,000円",管理費0円,9.3万円,無料,"37,000円",201号室,2K,29.7㎡,南
【空室1件】 ジオエント浅草雷門,東京メトロ銀座線 浅草駅 徒歩4分,都営浅草線 浅草駅 徒歩4分,東京都台東区雷門１丁目,2023年2月(新築),11階建,"184,000円","管理費15,000円",18.4万円,無料,無料,0201号室,2DK,40.85㎡,東
【空室1件】 パークハイム,ＪＲ京浜東北・根岸線 赤羽駅 徒歩7分,ＪＲ埼京線 赤羽駅 徒歩7分,東京都北区赤羽１丁目,1992年12月(築31年),4階建,"115,000円",管理費0円,11.5万円,無料,"88,000円",201号室,3K,46.92㎡,北西
【空室1件】 シャンボール第2南品川,京急本線 青物横丁駅 徒歩2分,ＪＲ京浜東北・根岸線 大井町駅 徒歩15分,東京都品川区南品川,1970年9月(築53年),7階建,"119,000円","管理費10,000円",11.9万円,11.9万円,"88,000円",302号室,2DK,36㎡,南西
【空室1件】 ＡＬＴＥＲＮＡ新宿中落合,都営大江戸線 落合南長崎駅 徒歩9分,西武池袋線 椎名町駅 徒歩10分,東京都新宿区中落合３丁目,2020年9月(築3年),5階建,"100,000円","管理費15,000円",無料,無料,無料,105号室,2K,25.72㎡,北
【空室2件】 コスモリード駒沢大学,東急田園都市線 駒沢大学駅 徒歩8分,東急世田谷線 西太子堂駅 徒歩13分,東京都世田谷区上馬２丁目,1994年3月(築29年),5階建,"129,000円","管理費6,000円",12.9万円,12.9万円,"88,000円",106号室,2DK,42.87㎡,北東
【空室2件】 コスモリード駒沢大学,東急田園都市線 駒沢大学駅 徒歩8分,東急世田谷線 西太子堂駅 徒歩13分,東京都世田谷区上馬２丁目,1994年3月(築29年),5階建,"167,000円","管理費8,000円",16.7万円,16.7万円,"88,000円",308号室,2LDK,54.42㎡,北東
