物件名,賃料,管理費,敷金,礼金,仲介金,所在地,部屋の階数,間取り,面積,アクセス1,URL
うたた寝と小鳥,"135,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都世田谷区,105号室,2DK,43.64㎡,桜新町駅 徒歩6分(東急田園都市線),https://www.goodrooms.jp/tokyo/detail/001/1001061825/
緑のハーバリウム,"165,000円","管理費8,000円",なし,なし,なし,東京都目黒区,0105号室,1LDK,40.02㎡,都立大学駅 徒歩5分(東急東横線),https://www.goodrooms.jp/tokyo/detail/001/1000299047/
憧れの層,"129,000円","管理費5,000円",1ヶ月,1.5ヶ月,1.1ヶ月,東京都板橋区,514号室,1LDK,50.4㎡,蓮根駅 徒歩5分(東京都三田線),https://www.goodrooms.jp/tokyo/detail/001/1001318634/
心を育む森,"162,000円","管理費10,000円",1ヶ月,なし,1.1ヶ月,東京都中野区,305号室,1LDK,45.76㎡,新江古田駅 徒歩10分(東京都大江戸線),https://www.goodrooms.jp/tokyo/detail/001/1001342391/
世田谷ブラウン,"125,000円","管理費4,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都世田谷区,201号室,1LDK,37.78㎡,上町駅 徒歩7分(東急世田谷線),https://www.goodrooms.jp/tokyo/detail/001/1001334795/
憧れのおうち時間を,"149,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都世田谷区,301号室,1LDK,41.39㎡,若林駅 徒歩3分(東急世田谷線),https://www.goodrooms.jp/tokyo/detail/001/1001336534/
チャームポイント多数,"134,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,302号室,1LDK,49.65㎡,池上駅 徒歩8分(東急池上線),https://www.goodrooms.jp/tokyo/detail/001/1001130220/
さらさら、ポカポカ。,"137,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都新宿区,303号室,1LDK,38.17㎡,東新宿駅 徒歩6分(東京地下鉄副都心線),https://www.goodrooms.jp/tokyo/detail/001/1001340560/
冷たくも温くも、思うまま。,"123,000円","管理費10,000円",なし,なし,1.1ヶ月,東京都目黒区,101号室,1LDK,28.74㎡,西小山駅 徒歩7分(東急目黒線),https://www.goodrooms.jp/tokyo/detail/001/1001341658/
TOMOS　雲のように走ろう,"180,000円","管理費12,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都目黒区,301号室,2LDK,49.1㎡,学芸大学駅 徒歩4分(東急東横線),https://www.goodrooms.jp/tokyo/detail/001/1001292627/
映画に埋もれる夜,"180,000円","管理費10,000円",なし,なし,1.1ヶ月,東京都台東区,301号室,1LDK,40.67㎡,稲荷町駅 徒歩3分(東京地下鉄銀座線),https://www.goodrooms.jp/tokyo/detail/001/1000472175/
自慢したい,"165,000円","管理費9,000円",2ヶ月,1ヶ月,1.1ヶ月,東京都中野区,102号室,2LDK,53.04㎡,東中野駅 徒歩2分(総武・中央緩行線),https://www.goodrooms.jp/tokyo/detail/001/1001342367/
ナチュラルに得意で,"142,000円","管理費8,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都世田谷区,104 号室,1LDK,38.4㎡,上野毛駅 徒歩8分(東急大井町線),https://www.goodrooms.jp/tokyo/detail/001/1001342982/
余白と黒枠,"129,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都新宿区,402号室,1LDK,31.1㎡,西早稲田駅 徒歩8分(東京地下鉄副都心線),https://www.goodrooms.jp/tokyo/detail/001/1001321533/
チョコミントを召しあがれ,"90,000円","管理費5,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,302号室,1LDK,35.93㎡,梅屋敷駅 徒歩5分(京浜急行電鉄本線),https://www.goodrooms.jp/tokyo/detail/001/1001093599/
螺旋階段のある暮らし,"155,000円","管理費6,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都文京区,03号室,2DK,45.31㎡,千駄木駅 徒歩6分(東京地下鉄千代田線),https://www.goodrooms.jp/tokyo/detail/001/2318503/
ロフトでごろごろ,"115,000円",管理費なし,1ヶ月,1ヶ月,1.1ヶ月,東京都世田谷区,203号室,1LDK,48.0㎡,経堂駅 徒歩9分(小田急電鉄小田原線),https://www.goodrooms.jp/tokyo/detail/001/1000695228/
都心の地下でユメをみる。,"154,000円","管理費5,000円",1ヶ月,なし,1.1ヶ月,東京都新宿区,103号室,1LDK,38.86㎡,西新宿五丁目駅 徒歩4分(東京都大江戸線),https://www.goodrooms.jp/tokyo/detail/001/1001340561/
やすらぎの空間,"109,000円","管理費9,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都豊島区,204号室,1LDK,32.76㎡,新大塚駅 徒歩1分(東京地下鉄丸ノ内線),https://www.goodrooms.jp/tokyo/detail/001/1001329022/
ステップの上で眠る君,"120,000円","管理費10,000円",2ヶ月,1ヶ月,1.1ヶ月,東京都中野区,101号室,1LDK,34.58㎡,富士見台駅 徒歩4分(西武池袋・豊島線),https://www.goodrooms.jp/tokyo/detail/001/1000796556/
住みやすさを感じる,"120,000円","管理費6,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都渋谷区,102号室,2DK,48.11㎡,幡ヶ谷駅 徒歩8分(京王電鉄京王線),https://www.goodrooms.jp/tokyo/detail/001/1001323537/
クリーンなグリーン×ブルー,"180,000円",管理費なし,1ヶ月,1ヶ月,1.1ヶ月,東京都渋谷区,512号室,1LDK,35.61㎡,北参道駅 徒歩3分(東京地下鉄副都心線),https://www.goodrooms.jp/tokyo/detail/001/1000734670/
暮らしは駆け上がるように。,"159,000円",管理費なし,1ヶ月,なし,1.1ヶ月,東京都品川区,C号室,1LDK,51.04㎡,旗の台駅 徒歩9分(東急大井町線),https://www.goodrooms.jp/tokyo/detail/001/1001075182/
今日のごちそう,"122,000円","管理費7,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都杉並区,302号室,1LDK,30.01㎡,方南町駅 徒歩8分(東京地下鉄方南支線),https://www.goodrooms.jp/tokyo/detail/001/1001334712/
窓辺でおやすみ,"159,000円","管理費6,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都台東区,102号室,1LDK,56.79㎡,入谷駅 徒歩10分(東京地下鉄日比谷線),https://www.goodrooms.jp/tokyo/detail/001/1001148502/
優しいギャップに魅せられて,"169,000円","管理費10,000円",なし,なし,1.1ヶ月,東京都渋谷区,402号室,1LDK,26.95㎡,広尾駅 徒歩9分(東京地下鉄日比谷線),https://www.goodrooms.jp/tokyo/detail/001/1000863449/
晴れ晴れとした気分,"167,000円","管理費15,000円",なし,なし,なし,東京都中野区,0305号室,1LDK,40.74㎡,新中野駅 徒歩5分(東京地下鉄丸ノ内線),https://www.goodrooms.jp/tokyo/detail/001/1001289950/
気持ちが昂る予感がする,"167,000円","管理費10,000円",なし,なし,1.1ヶ月,東京都目黒区,403号室,1LDK,33.51㎡,都立大学駅 徒歩10分(東急東横線),https://www.goodrooms.jp/tokyo/detail/001/1001326600/
土間の上にはグレーゾーン,"169,000円",管理費なし,1ヶ月,なし,1.1ヶ月,東京都世田谷区,d号室,1LDK,47.77㎡,緑が丘駅 徒歩5分(東急大井町線),https://www.goodrooms.jp/tokyo/detail/001/1000185194/
時が輝くキラキラ,"175,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都新宿区,401号室,1LDK,36.55㎡,牛込柳町駅 徒歩3分(東京都大江戸線),https://www.goodrooms.jp/tokyo/detail/001/1001276663/
暮らしに緩急をつけて,"170,000円","管理費15,000円",なし,なし,1.1ヶ月,東京都台東区,705号室,1LDK,41.94㎡,浅草駅 徒歩7分(つくばエクスプレス),https://www.goodrooms.jp/tokyo/detail/001/1001241405/
隙間から差し込む光を頼りに,"131,000円","管理費7,000円",1ヶ月,1ヶ月,なし,東京都世田谷区,102号室,1LDK,31.06㎡,下北沢駅 徒歩6分(京王電鉄井の頭線),https://www.goodrooms.jp/tokyo/detail/001/1001090290/
今日、何食べる？,"118,000円","管理費9,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,213号室,1LDK,34.65㎡,荏原町駅 徒歩8分(東急大井町線),https://www.goodrooms.jp/tokyo/detail/001/1000891144/
微睡みと君の背中,"82,000円","管理費3,000円",なし,なし,1.1ヶ月,東京都足立区,201号室,1LDK,33.12㎡,大師前駅 徒歩14分(東武伊勢崎・大師線),https://www.goodrooms.jp/tokyo/detail/001/1001314223/
切り取られた先に,"190,000円","管理費8,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都港区,303号室,1LDK,40.82㎡,白金高輪駅 徒歩6分(東京地下鉄南北線),https://www.goodrooms.jp/tokyo/detail/001/1000405441/
「いつもの豆ね。」,"112,000円","管理費10,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都杉並区,203号室,1LDK,30.68㎡,浜田山駅 徒歩7分(京王電鉄井の頭線),https://www.goodrooms.jp/tokyo/detail/001/1000299019/
選りすぐりに囲まれて,"105,000円","管理費3,000円",1ヶ月,1ヶ月,1.1ヶ月,東京都大田区,201号室,1LDK,32.7㎡,蒲田駅 徒歩12分(京浜東北・根岸線),https://www.goodrooms.jp/tokyo/detail/001/27626201/
あたたかなたんぽぽ,"134,000円","管理費6,000円",なし,なし,1.1ヶ月,東京都江東区,208号室,1LDK,48.41㎡,大島駅 徒歩9分(東京都新宿線),https://www.goodrooms.jp/tokyo/detail/001/1001230618/
螺旋階段をのぼって,"92,000円","管理費3,000円",なし,なし,1.1ヶ月,東京都足立区,302号室,1LDK,41.4㎡,江北駅 徒歩4分(日暮里舎人ライナー),https://www.goodrooms.jp/tokyo/detail/001/1001320070/
とっておきの宝箱を貴方に,"153,000円","管理費8,000円",1ヶ月,なし,1.1ヶ月,東京都新宿区,203号室,1LDK,33.77㎡,若松河田駅 徒歩2分(東京都大江戸線),https://www.goodrooms.jp/tokyo/detail/001/1001275363/
